gift_id,contact_id,gift_date,amount,gift_type,campaign
48,003XX00000jgYoPHte,2020-10-03,125,one_time,Spring Appeal 2023
49,003XX00000vZnemR7d,2015-12-28,175,recurring,Spring Gala 2022
50,003XX00000vZnemR7d,2015-12-28,40,recurring,Spring Appeal 2024
51,003XX00000vZnemR7d,2020-12-06,20.0,planned_giving,
52,003XX00000vZnemR7d,2023-09-18,75,one_time,Spring Gala 2022
53,003XX00000FYcOkDRl,2017-10-19,20.0,one_time,
54,003XX00000FYcOkDRl,2017-12-05,20.0,planned_giving,Year-End Appeal 2021
55,003XX00000FYcOkDRl,2018-05-03,35,one_time,
56,003XX000009dX7chhp,2021-07-14,50,recurring,Annual Fund 2020
57,003XX000009dX7chhp,2022-12-20,30,one_time,
58,003XX000009dX7chhp,2023-10-04,20.0,one_time,
59,003XX000009dX7chhp,2023-12-08,35,one_time,Year-End Appeal 2022
60,003XX000009dX7chhp,2023-12-24,40,planned_giving,Year-End Appeal 2021
61,003XX00000g3IfQyUt,2021-11-15,20.0,recurring,Year-End Appeal 2024
62,003XX00000g3IfQyUt,2022-03-12,20.0,one_time,Annual Fund 2021
63,003XX00000g3IfQyUt,2022-03-12,20.0,recurring,Annual Fund 2021
64,003XX00000g3IfQyUt,2022-03-12,20.0,one_time,Spring Gala 2023
65,003XX000007dc9Xr4u,2014-12-07,20.0,recurring,Planned Giving Society
66,003XX000007dc9Xr4u,2018-11-01,20.0,recurring,Spring Appeal 2024
67,003XX000007dc9Xr4u,2019-11-23,20.0,recurring,
68,003XX000007dc9Xr4u,2021-09-05,20.0,recurring,Spring Appeal 2024
69,003XX000007dc9Xr4u,2022-03-23,20.0,one_time,Spring Appeal 2022
70,003XX00000BZvv8oa9,2019-01-20,20.0,recurring,Spring Gala 2022
71,003XX00000BZvv8oa9,2020-11-28,20.0,recurring,Year-End Appeal 2023
72,003XX00000BZvv8oa9,2021-10-20,20.0,one_time,Spring Appeal 2023
73,003XX00000BZvv8oa9,2021-11-03,20.0,one_time,
74,003XX00000BZvv8oa9,2021-12-22,20.0,recurring,
75,003XX000009O4jjvyO,2017-08-23,30,one_time,Annual Fund 2020
76,003XX000009O4jjvyO,2017-11-11,25,recurring,Spring Appeal 2022
77,003XX000009O4jjvyO,2017-12-20,100,event,
78,003XX000009O4jjvyO,2017-12-21,125,recurring,
79,003XX000009O4jjvyO,2017-12-26,40,one_time,Spring Appeal 2022
80,003XX000009O4jjvyO,2018-04-01,225,one_time,
81,003XX000009O4jjvyO,2018-10-23,40,event,Spring Gala 2023
82,003XX000009O4jjvyO,2019-08-17,50,recurring,Annual Fund 2020
83,003XX000009O4jjvyO,2019-10-10,35,one_time,Spring Appeal 2023
84,003XX000009O4jjvyO,2019-11-09,75,one_time,Annual Fund 2020
85,003XX000009O4jjvyO,2019-11-25,20.0,one_time,Year-End Appeal 2022
86,003XX000009O4jjvyO,2020-09-24,45,recurring,Annual Fund 2023
87,003XX000009O4jjvyO,2020-09-24,75,planned_giving,
88,003XX000005Sij0phX,2019-10-04,20.0,planned_giving,Spring Appeal 2022
89,003XX000005Sij0phX,2019-11-24,20.0,one_time,
90,003XX000005Sij0phX,2020-04-03,20.0,recurring,
91,003XX000005Sij0phX,2021-11-17,20.0,recurring,Annual Fund 2021
92,003XX00000biZBVFlU,2016-10-04,125,one_time,Spring Gala 2023
93,003XX00000biZBVFlU,2016-12-28,125,one_time,
94,003XX00000MuyDG2LU,2020-11-18,20.0,event,Spring Appeal 2024
95,003XX00000MuyDG2LU,2021-08-31,20.0,one_time,Year-End Appeal 2022
96,003XX00000MuyDG2LU,2021-08-31,20.0,recurring,
97,003XX00000MuyDG2LU,2021-08-31,20.0,recurring,Planned Giving Society
98,003XX00000MuyDG2LU,2021-08-31,20.0,recurring,Year-End Appeal 2023
99,003XX00000qZ0eFBvS,2023-06-15,25,recurring,Year-End Appeal 2021
100,003XX00000qZ0eFBvS,2023-07-06,45,one_time,Annual Fund 2023
101,003XX00000qZ0eFBvS,2023-10-10,20.0,one_time,Spring Gala 2023
102,003XX00000qZ0eFBvS,2024-03-31,25,one_time,Major Gift Initiative 2022
103,003XX00000qZ0eFBvS,2024-03-31,20.0,one_time,Year-End Appeal 2022
104,003XX00000EQCDwfmf,2013-12-13,100,one_time,
105,003XX00000EQCDwfmf,2013-12-19,20.0,recurring,
106,003XX00000EQCDwfmf,2013-12-27,75,one_time,Major Gift Initiative 2022
107,003XX00000EQCDwfmf,2015-01-12,35,planned_giving,
108,003XX00000EQCDwfmf,2015-10-18,50,recurring,
109,003XX00000EQCDwfmf,2015-12-01,50,recurring,Major Gift Initiative 2022
110,003XX00000EQCDwfmf,2017-12-10,125,recurring,Spring Appeal 2023
111,003XX00000EQCDwfmf,2018-11-28,45,one_time,Annual Fund 2020
112,003XX00000EQCDwfmf,2019-06-03,45,recurring,
113,003XX00000EQCDwfmf,2019-06-27,75,one_time,Major Gift Initiative 2022
114,003XX00000EQCDwfmf,2019-12-05,75,event,Annual Fund 2021
115,003XX00000EQCDwfmf,2019-12-07,45,event,Spring Appeal 2023
116,003XX00000EQCDwfmf,2019-12-13,30,one_time,Annual Fund 2022
117,003XX00000EQCDwfmf,2020-01-18,50,one_time,Spring Gala 2022
118,003XX00000GGbTHWvc,2021-06-30,35,one_time,Annual Fund 2022
119,003XX00000s40UBk4w,2025-11-10,20.0,one_time,
120,003XX00000s40UBk4w,2025-12-16,20.0,one_time,Year-End Appeal 2022
121,003XX00000s40UBk4w,2025-12-24,20.0,recurring,Spring Gala 2023
122,003XX00000jdKYmqYY,2018-12-24,20.0,one_time,Year-End Appeal 2022
123,003XX00000jdKYmqYY,2020-01-24,20.0,one_time,
124,003XX00000jdKYmqYY,2020-12-09,20.0,one_time,Annual Fund 2021
125,003XX00000cNSgmkA9,2022-11-13,20.0,one_time,Major Gift Initiative 2022
126,003XX00000cNSgmkA9,2022-12-13,20.0,one_time,
127,003XX00000cNSgmkA9,2023-09-15,20.0,one_time,Annual Fund 2021
128,003XX00000cNSgmkA9,2023-09-15,20.0,one_time,Spring Appeal 2023
129,003XX00000SCeM5UAp,2018-10-06,25,one_time,Annual Fund 2023
130,003XX00000HrD6JZkx,2021-10-17,20.0,recurring,Annual Fund 2021
131,003XX00000HrD6JZkx,2021-11-08,20.0,one_time,Year-End Appeal 2023
132,003XX00000HrD6JZkx,2023-10-11,20.0,event,Annual Fund 2023
133,003XX00000HrD6JZkx,2023-10-17,20.0,one_time,Spring Appeal 2024
134,003XX00000IssGlL5Y,2022-12-21,175,event,Major Gift Initiative 2022
135,003XX00000IssGlL5Y,2022-12-21,300,one_time,Annual Fund 2022
136,003XX00000IssGlL5Y,2022-12-21,25,one_time,
137,003XX00000IssGlL5Y,2022-12-24,75,one_time,Spring Appeal 2023
138,003XX00000IssGlL5Y,2023-01-16,20.0,one_time,Annual Fund 2021
139,003XX00000IssGlL5Y,2023-10-19,50,recurring,
140,003XX00000IssGlL5Y,2023-10-19,50,one_time,Spring Appeal 2022
141,003XX00000IssGlL5Y,2023-10-19,30,one_time,Spring Gala 2023
142,003XX00000IssGlL5Y,2023-10-19,75,recurring,Annual Fund 2021
143,003XX000000Ac6C5lv,2025-08-07,25,one_time,Spring Appeal 2023
144,003XX00000zlL3l2gu,2025-11-16,20.0,one_time,Spring Gala 2023
145,003XX00000zlL3l2gu,2025-11-16,20.0,recurring,Year-End Appeal 2022
146,003XX00000zlL3l2gu,2025-11-16,20.0,recurring,Annual Fund 2023
147,003XX00000zlL3l2gu,2025-12-05,20.0,one_time,Year-End Appeal 2024
148,003XX00000zlL3l2gu,2026-01-21,20.0,one_time,Spring Appeal 2022
149,003XX00000ifVHfPhx,2023-11-04,75,event,Year-End Appeal 2021
150,003XX00000tp6rEKGD,2020-04-25,400,one_time,Annual Fund 2022
