interaction_id,contact_id,interaction_date,interaction_type,details
149,003XX00000n8PBwVtm,2020-01-11,email_open,Journal issue announcement
150,003XX00000n8PBwVtm,2023-05-14,event_attended,Book Launch event
151,003XX00000n8PBwVtm,2023-03-24,email_open,Annual event invitation
152,003XX000008ee5gxtE,2022-09-29,meeting,Introductory meeting with development director
153,003XX000008ee5gxtE,2023-02-09,email_open,Annual event invitation
154,003XX00000jgYoPHte,2024-01-21,mail_sent,Stewardship impact report
155,003XX00000jgYoPHte,2024-11-21,meeting,Major gift conversation – preliminary
156,003XX00000gvzE8nbq,2025-05-03,mail_sent,Annual Fund appeal letter
157,003XX00000gvzE8nbq,2025-09-30,event_attended,Virtual Symposium on Culture & Democracy
158,003XX00000gvzE8nbq,2022-11-29,email_open,Journal issue announcement
159,003XX00000gvzE8nbq,2020-08-27,phone_call,Outreach about Planned Giving Society
160,003XX00000gvzE8nbq,2025-03-03,event_attended,Spring Gala 2023
161,003XX00000gvzE8nbq,2021-10-30,event_attended,Spring Gala 2022
162,003XX00000gvzE8nbq,2024-01-19,event_attended,Book Launch event
163,003XX00000gvzE8nbq,2023-12-29,mail_sent,Annual Fund appeal letter
164,003XX00000vZnemR7d,2020-11-10,phone_call,
165,003XX00000vZnemR7d,2022-01-20,email_click,Clicked donate button
166,003XX00000vZnemR7d,2021-11-15,phone_call,
167,003XX00000vZnemR7d,2023-07-19,event_attended,Homecoming Reception 2023
168,003XX00000vZnemR7d,2024-01-24,event_attended,Spring Gala 2022
169,003XX00000vZnemR7d,2023-12-11,phone_call,Outreach about Planned Giving Society
170,003XX00000vZnemR7d,2021-07-14,email_open,Annual Fund thank-you
171,003XX00000vZnemR7d,2024-03-07,event_attended,Book Launch event
172,003XX00000FYcOkDRl,2021-02-23,email_click,Clicked event registration link
173,003XX00000FYcOkDRl,2025-08-23,email_click,Clicked event registration link
174,003XX00000FYcOkDRl,2025-11-23,email_click,Clicked donate button
175,003XX00000FYcOkDRl,2025-03-01,meeting,Introductory meeting with development director
176,003XX00000FYcOkDRl,2021-06-21,email_open,Year-End Appeal 2023
177,003XX00000FYcOkDRl,2023-11-27,meeting,Major gift conversation – preliminary
178,003XX00000FYcOkDRl,2024-01-25,mail_sent,Holiday card
179,003XX00000K9tSUzhr,2025-11-12,phone_call,Follow-up on lapsed donor reengagement
180,003XX00000K9tSUzhr,2023-06-01,email_click,Clicked donate button
181,003XX00000K9tSUzhr,2021-04-30,mail_sent,Holiday card
182,003XX000009dX7chhp,2022-07-17,email_click,Clicked journal article link
183,003XX000009dX7chhp,2022-05-09,email_click,Clicked event registration link
184,003XX000009dX7chhp,2024-10-06,email_open,
185,003XX000009dX7chhp,2020-11-14,email_open,Year-End Appeal 2023
186,003XX000009dX7chhp,2024-11-01,meeting,Introductory meeting with development director
187,003XX000009dX7chhp,2021-03-17,email_click,Clicked donate button
188,003XX000009dX7chhp,2025-10-04,mail_sent,Stewardship impact report
189,003XX000009dX7chhp,2025-04-05,email_open,Year-End Appeal 2023
190,003XX000009dX7chhp,2020-06-26,event_attended,Spring Gala 2022
191,003XX000009dX7chhp,2020-02-12,event_attended,Spring Gala 2022
192,003XX000009dX7chhp,2022-04-21,email_open,Annual Fund thank-you
193,003XX000009dX7chhp,2022-01-26,email_click,Clicked journal article link
194,003XX000009dX7chhp,2021-01-06,email_open,Journal issue announcement
195,003XX000009dX7chhp,2023-02-10,mail_sent,Stewardship impact report
196,003XX000009dX7chhp,2023-12-13,event_attended,Spring Gala 2023
197,003XX00000PpgnDZsG,2022-09-17,mail_sent,Stewardship impact report
198,003XX00000PpgnDZsG,2020-10-06,phone_call,Thank-you call after Year-End gift
199,003XX00000PpgnDZsG,2020-02-27,phone_call,
200,003XX00000PpgnDZsG,2022-02-23,email_click,Clicked journal article link
201,003XX00000PpgnDZsG,2026-01-09,email_click,Clicked donate button
202,003XX00000PpgnDZsG,2021-02-08,mail_sent,Holiday card
203,003XX00000PpgnDZsG,2025-04-28,phone_call,Follow-up on lapsed donor reengagement
204,003XX00000g3IfQyUt,2024-12-05,email_click,Clicked donate button
205,003XX00000g3IfQyUt,2023-12-24,email_click,
206,003XX00000g3IfQyUt,2022-05-27,meeting,Phone meeting rescheduled
207,003XX00000g3IfQyUt,2024-07-27,email_click,Clicked donate button
208,003XX00000g3IfQyUt,2021-05-21,event_attended,Book Launch event
209,003XX00000g3IfQyUt,2025-10-29,email_open,Journal issue announcement
210,003XX00000g3IfQyUt,2024-01-19,meeting,Major gift conversation – preliminary
211,003XX00000g3IfQyUt,2020-06-15,phone_call,Thank-you call after Year-End gift
212,003XX000007dc9Xr4u,2024-04-25,email_open,Spring fundraising newsletter
213,003XX000007dc9Xr4u,2023-07-01,meeting,Cultivation lunch
214,003XX000007dc9Xr4u,2024-07-26,email_click,Clicked journal article link
215,003XX00000BZvv8oa9,2025-05-02,email_open,
216,003XX00000BZvv8oa9,2022-01-04,event_attended,Spring Gala 2022
217,003XX000009O4jjvyO,2021-03-06,mail_sent,Planned giving brochure
218,003XX000009O4jjvyO,2025-11-10,meeting,Introductory meeting with development director
219,003XX000009O4jjvyO,2021-08-10,email_open,Annual event invitation
220,003XX000009O4jjvyO,2021-02-20,meeting,Stewardship call – discussed giving impact
221,003XX000009O4jjvyO,2024-01-29,email_open,Journal issue announcement
222,003XX000009O4jjvyO,2022-03-31,event_attended,Virtual Symposium on Culture & Democracy
223,003XX000009O4jjvyO,2021-05-17,meeting,Stewardship call – discussed giving impact
224,003XX00000Qpl2Lvsi,2025-08-06,mail_sent,Hedgehog Review print copy
225,003XX00000jPi6Uves,2023-01-23,phone_call,Left voicemail
226,003XX00000jPi6Uves,2025-05-02,event_attended,Virtual Symposium on Culture & Democracy
227,003XX00000jPi6Uves,2025-06-07,meeting,Phone meeting rescheduled
228,003XX00000jPi6Uves,2021-08-26,event_attended,Book Launch event
229,003XX00000jPi6Uves,2021-05-15,email_open,Spring fundraising newsletter
230,003XX00000jPi6Uves,2025-07-29,meeting,Stewardship call – discussed giving impact
231,003XX00000jPi6Uves,2021-07-05,mail_sent,Annual Fund appeal letter
232,003XX00000PVxE7cPr,2020-08-04,mail_sent,Annual Fund appeal letter
233,003XX00000PVxE7cPr,2020-04-19,meeting,Stewardship call – discussed giving impact
234,003XX00000PVxE7cPr,2023-09-01,meeting,Stewardship call – discussed giving impact
235,003XX000005Sij0phX,2021-01-29,phone_call,Thank-you call after Year-End gift
236,003XX000005Sij0phX,2025-10-30,mail_sent,Planned giving brochure
237,003XX000005Sij0phX,2022-04-07,meeting,Major gift conversation – preliminary
238,003XX000005Sij0phX,2025-08-01,mail_sent,Planned giving brochure
239,003XX00000biZBVFlU,2023-11-08,phone_call,
240,003XX00000biZBVFlU,2020-03-13,phone_call,Thank-you call after Year-End gift
241,003XX00000biZBVFlU,2021-05-02,meeting,Cultivation lunch
242,003XX00000biZBVFlU,2023-07-12,meeting,Cultivation lunch
243,003XX00000biZBVFlU,2025-02-25,meeting,Introductory meeting with development director
244,003XX00000biZBVFlU,2021-12-25,email_open,Annual Fund thank-you
245,003XX00000biZBVFlU,2023-05-26,mail_sent,Holiday card
246,003XX000008wURwW5M,2021-07-04,meeting,Major gift conversation – preliminary
247,003XX000008wURwW5M,2024-05-12,mail_sent,Planned giving brochure
248,003XX00000YvkfVBGZ,2025-07-02,mail_sent,Stewardship impact report
249,003XX00000YvkfVBGZ,2026-01-18,mail_sent,Stewardship impact report
250,003XX00000YvkfVBGZ,2025-05-03,meeting,Phone meeting rescheduled
251,003XX00000MuyDG2LU,2024-05-22,email_open,Spring fundraising newsletter
252,003XX00000MuyDG2LU,2024-03-27,meeting,Phone meeting rescheduled
253,003XX00000MuyDG2LU,2023-12-15,mail_sent,Hedgehog Review print copy
254,003XX00000MuyDG2LU,2020-09-08,event_attended,Spring Gala 2022
255,003XX00000MuyDG2LU,2020-07-03,phone_call,Outreach about Planned Giving Society
256,003XX00000MuyDG2LU,2023-11-29,event_attended,Virtual Symposium on Culture & Democracy
257,003XX00000MuyDG2LU,2023-10-29,email_open,Annual event invitation
258,003XX00000qZ0eFBvS,2024-01-03,event_attended,Book Launch event
259,003XX00000qZ0eFBvS,2020-08-19,event_attended,Spring Gala 2023
260,003XX00000qZ0eFBvS,2022-08-19,email_click,Clicked journal article link
261,003XX00000qZ0eFBvS,2020-12-13,phone_call,Thank-you call after Year-End gift
262,003XX000002S22FWFp,2020-03-21,email_click,Clicked journal article link
263,003XX000002S22FWFp,2025-03-02,email_open,
264,003XX000002S22FWFp,2025-10-09,meeting,Cultivation lunch
265,003XX000002S22FWFp,2020-03-24,event_attended,Book Launch event
266,003XX000002S22FWFp,2020-04-01,phone_call,Follow-up on lapsed donor reengagement
267,003XX000002S22FWFp,2024-05-17,meeting,Major gift conversation – preliminary
268,003XX000002S22FWFp,2021-02-04,phone_call,Left voicemail
269,003XX000002S22FWFp,2022-04-23,email_open,Spring fundraising newsletter
270,003XX000002S22FWFp,2025-08-21,meeting,Major gift conversation – preliminary
271,003XX000002S22FWFp,2023-05-11,email_click,Clicked journal article link
272,003XX000002S22FWFp,2022-04-06,meeting,Cultivation lunch
273,003XX000002S22FWFp,2020-11-04,mail_sent,Stewardship impact report
274,003XX000002S22FWFp,2023-03-23,email_click,Clicked journal article link
275,003XX000002S22FWFp,2023-05-02,email_open,Annual Fund thank-you
276,003XX00000mJZq1FGu,2021-01-11,email_click,Clicked donate button
277,003XX00000mJZq1FGu,2023-10-11,phone_call,Follow-up on lapsed donor reengagement
278,003XX00000mJZq1FGu,2025-12-15,email_open,Annual event invitation
279,003XX00000mJZq1FGu,2022-05-09,meeting,Major gift conversation – preliminary
280,003XX00000EQCDwfmf,2025-08-29,event_attended,Homecoming Reception 2023
281,003XX00000EQCDwfmf,2026-01-20,meeting,Major gift conversation – preliminary
282,003XX00000EQCDwfmf,2024-08-24,email_click,
283,003XX00000EQCDwfmf,2025-10-11,event_attended,Book Launch event
284,003XX00000EQCDwfmf,2026-02-20,mail_sent,Holiday card
285,003XX000001vTFcWSw,2025-10-15,mail_sent,Holiday card
286,003XX000001vTFcWSw,2025-08-06,phone_call,Outreach about Planned Giving Society
287,003XX000001vTFcWSw,2025-03-29,mail_sent,Hedgehog Review print copy
288,003XX000001vTFcWSw,2025-12-22,mail_sent,Stewardship impact report
289,003XX000001vTFcWSw,2020-09-02,meeting,Phone meeting rescheduled
290,003XX000001vTFcWSw,2024-02-01,email_click,
291,003XX00000GGbTHWvc,2023-05-14,mail_sent,Planned giving brochure
292,003XX00000GGbTHWvc,2023-07-29,meeting,Introductory meeting with development director
293,003XX00000GGbTHWvc,2022-04-13,mail_sent,Planned giving brochure
294,003XX000004zUCcKjy,2021-10-19,event_attended,Homecoming Reception 2023
295,003XX00000TQBlByRy,2022-08-25,phone_call,Left voicemail
296,003XX00000TQBlByRy,2021-04-10,email_click,Clicked event registration link
297,003XX00000TQBlByRy,2020-04-23,email_click,Clicked event registration link
298,003XX00000TQBlByRy,2025-03-16,event_attended,Book Launch event
299,003XX00000TQBlByRy,2024-11-21,phone_call,Left voicemail
300,003XX00000TQBlByRy,2020-05-31,mail_sent,Holiday card
301,003XX00000TQBlByRy,2023-01-22,email_click,Clicked event registration link
302,003XX00000TQBlByRy,2022-11-24,email_open,Spring fundraising newsletter
303,003XX00000TQBlByRy,2021-12-21,mail_sent,Annual Fund appeal letter
304,003XX00000TQBlByRy,2025-06-13,mail_sent,Annual Fund appeal letter
305,003XX00000TQBlByRy,2020-12-09,email_open,Spring fundraising newsletter
306,003XX00000TQBlByRy,2023-05-05,phone_call,Thank-you call after Year-End gift
307,003XX00000TQBlByRy,2024-01-28,meeting,Introductory meeting with development director
308,003XX00000s40UBk4w,2021-07-29,mail_sent,Holiday card
309,003XX00000s40UBk4w,2025-08-11,email_open,Year-End Appeal 2023
310,003XX00000K2Frn2bQ,2025-11-21,mail_sent,Hedgehog Review print copy
311,003XX00000K2Frn2bQ,2021-01-04,meeting,Stewardship call – discussed giving impact
312,003XX00000K2Frn2bQ,2021-05-15,phone_call,Follow-up on lapsed donor reengagement
313,003XX00000K2Frn2bQ,2024-05-16,event_attended,Spring Gala 2023
314,003XX00000laDU8Zi5,2021-08-13,email_click,Clicked donate button
315,003XX00000laDU8Zi5,2022-05-26,email_click,Clicked journal article link
316,003XX00000laDU8Zi5,2024-07-30,meeting,Major gift conversation – preliminary
317,003XX00000laDU8Zi5,2020-08-17,phone_call,Left voicemail
318,003XX00000FVh8ki0y,2021-04-07,event_attended,Homecoming Reception 2023
319,003XX00000FVh8ki0y,2024-10-01,phone_call,Left voicemail
320,003XX00000FVh8ki0y,2022-10-06,mail_sent,Hedgehog Review print copy
321,003XX00000FVh8ki0y,2024-01-26,email_click,
322,003XX00000wmgaZJkv,2023-06-16,event_attended,Spring Gala 2022
323,003XX00000wmgaZJkv,2020-05-22,mail_sent,Annual Fund appeal letter
324,003XX00000wmgaZJkv,2022-09-08,mail_sent,Hedgehog Review print copy
325,003XX00000jdKYmqYY,2024-01-26,event_attended,Spring Gala 2022
326,003XX00000jdKYmqYY,2022-08-26,phone_call,Left voicemail
327,003XX00000jdKYmqYY,2020-02-02,meeting,Cultivation lunch
328,003XX00000jdKYmqYY,2023-05-17,event_attended,Spring Gala 2022
329,003XX00000jdKYmqYY,2023-05-03,email_click,Clicked event registration link
330,003XX00000jdKYmqYY,2024-12-02,email_click,Clicked journal article link
331,003XX00000jdKYmqYY,2024-07-22,mail_sent,Annual Fund appeal letter
332,003XX00000jdKYmqYY,2020-11-24,event_attended,Book Launch event
333,003XX00000jdKYmqYY,2024-08-18,meeting,Major gift conversation – preliminary
334,003XX00000jdKYmqYY,2024-09-26,mail_sent,Annual Fund appeal letter
335,003XX00000jdKYmqYY,2022-12-04,email_click,Clicked donate button
336,003XX00000Pc4rQzfn,2026-02-21,meeting,Major gift conversation – preliminary
337,003XX00000Pc4rQzfn,2020-04-22,meeting,Introductory meeting with development director
338,003XX00000Pc4rQzfn,2022-01-22,mail_sent,Planned giving brochure
339,003XX00000cNSgmkA9,2024-06-29,email_open,Journal issue announcement
340,003XX00000cNSgmkA9,2023-06-05,mail_sent,Hedgehog Review print copy
341,003XX00000cNSgmkA9,2020-12-02,phone_call,Thank-you call after Year-End gift
342,003XX00000cNSgmkA9,2022-10-19,email_click,Clicked event registration link
343,003XX00000cNSgmkA9,2024-08-07,phone_call,Follow-up on lapsed donor reengagement
344,003XX00000cNSgmkA9,2025-05-13,meeting,Stewardship call – discussed giving impact
345,003XX00000cNSgmkA9,2021-12-11,event_attended,Virtual Symposium on Culture & Democracy
346,003XX00000cNSgmkA9,2023-02-28,event_attended,Spring Gala 2023
347,003XX00000cNSgmkA9,2024-08-24,email_open,Spring fundraising newsletter
348,003XX00000cNSgmkA9,2024-05-30,email_click,
349,003XX00000cNSgmkA9,2022-07-08,phone_call,Thank-you call after Year-End gift
350,003XX00000cNSgmkA9,2022-07-25,email_open,Year-End Appeal 2023
351,003XX00000cNSgmkA9,2022-03-23,meeting,Major gift conversation – preliminary
352,003XX00000cNSgmkA9,2021-11-22,mail_sent,Annual Fund appeal letter
353,003XX00000cNSgmkA9,2024-10-22,meeting,Phone meeting rescheduled
354,003XX00000cNSgmkA9,2021-09-03,event_attended,Spring Gala 2022
355,003XX00000cNSgmkA9,2021-11-27,event_attended,Virtual Symposium on Culture & Democracy
356,003XX00000cNSgmkA9,2020-02-27,email_open,
357,003XX00000Sdtsi463,2025-02-01,meeting,Cultivation lunch
358,003XX00000Sdtsi463,2022-07-08,email_open,
359,003XX00000Sdtsi463,2022-02-19,email_click,Clicked journal article link
360,003XX00000Sdtsi463,2025-07-17,event_attended,Book Launch event
361,003XX00000AQvKvevF,2022-04-26,meeting,Phone meeting rescheduled
362,003XX00000AQvKvevF,2023-03-05,email_click,Clicked event registration link
363,003XX00000tItkKWoC,2024-07-31,email_click,Clicked event registration link
364,003XX00000HrD6JZkx,2025-01-21,phone_call,Outreach about Planned Giving Society
365,003XX00000HrD6JZkx,2025-02-19,event_attended,Spring Gala 2022
366,003XX00000HrD6JZkx,2025-04-04,email_open,Journal issue announcement
367,003XX00000HrD6JZkx,2024-06-16,event_attended,Spring Gala 2023
368,003XX00000HrD6JZkx,2024-04-19,mail_sent,Planned giving brochure
369,003XX00000HrD6JZkx,2022-11-15,mail_sent,Annual Fund appeal letter
370,003XX000008DNnZOcx,2020-08-28,phone_call,Thank-you call after Year-End gift
371,003XX00000IssGlL5Y,2023-12-22,meeting,Phone meeting rescheduled
372,003XX00000IssGlL5Y,2020-07-05,mail_sent,Annual Fund appeal letter
373,003XX00000IssGlL5Y,2025-08-28,event_attended,Virtual Symposium on Culture & Democracy
374,003XX00000IssGlL5Y,2023-05-24,meeting,Cultivation lunch
375,003XX00000IssGlL5Y,2024-02-28,mail_sent,Holiday card
376,003XX00000Sr1s6nMm,2022-01-04,email_open,Spring fundraising newsletter
